employee_id,first_name,last_name,email,phone_number,job_title,department,salary,hire_date,gender,date_of_birth,street,city,country,manager_id,performance_rating
53,Shelia,Diggens,sdiggens1g@weibo.com,124-872-4011,Research Assistant IV,Sales,115033.54,5/6/2014,Female,"error: invalid date ""31/12/2010""",902 Schmedeman Circle,Zaječí,Czech Republic,53,3
54,Olivie,Casterton,ocasterton1h@netlog.com,484-846-3570,Safety Technician I,Services,117171.73,11/10/2013,Female,"error: invalid date ""31/12/2010""",5614 Ilene Parkway,Guadalupe,Mexico,54,1
55,Cherrita,Brome,cbrome1i@privacy.gov.au,576-587-9248,Technical Writer,Marketing,122766.66,2/2/2011,Female,"error: invalid date ""31/12/2010""",48949 Carioca Place,Leiguan,China,55,4
56,Ebenezer,Aburrow,eaburrow1j@walmart.com,787-867-5778,Senior Quality Engineer,Training,62996.44,5/15/2017,Male,"error: invalid date ""31/12/2010""",285 Dayton Avenue,Calheta,Cape Verde,56,1
57,Jo-ann,Tondeur,jtondeur1k@wordpress.org,679-240-2846,Executive Secretary,Training,126130.21,7/31/2019,Female,"error: invalid date ""31/12/2010""",600 Ridgeway Lane,Qingping,China,57,1
58,Joel,Mamwell,jmamwell1l@jalbum.net,124-718-4982,Senior Cost Accountant,Training,112294.69,12/13/2019,Male,"error: invalid date ""31/12/2010""",0 Golden Leaf Junction,Baishui,China,58,1
59,Fran,Schulze,fschulze1m@diigo.com,393-756-1793,Paralegal,Legal,149894.27,5/8/2011,Female,"error: invalid date ""31/12/2010""",402 Logan Lane,Tawala,Philippines,59,1
60,Alic,Townshend,atownshend1n@kickstarter.com,651-583-8629,Administrative Assistant II,Support,86251.29,10/17/2015,Male,"error: invalid date ""31/12/2010""",11865 Florence Road,Haixing,China,60,5
61,Son,Paolillo,spaolillo1o@google.com,320-223-3657,Social Worker,Accounting,121852.36,6/7/2010,Male,"error: invalid date ""31/12/2010""",7165 Debra Junction,Lodja,Democratic Republic of the Congo,61,2
62,Cleo,Hanwell,chanwell1p@woothemes.com,503-889-7686,Account Coordinator,Product Management,48137.49,3/9/2016,Female,"error: invalid date ""31/12/2010""",07680 Evergreen Lane,Skatepark,Canada,62,3
63,Fayre,Westmorland,fwestmorland1q@hud.gov,355-402-0226,Research Nurse,Services,80572.03,11/8/2021,Genderfluid,"error: invalid date ""31/12/2010""",0 Bunker Hill Lane,Xianshuigu,China,63,4
64,Lindi,Tortice,ltortice1r@4shared.com,754-310-6756,Occupational Therapist,Support,76425.36,2/8/2021,Female,"error: invalid date ""31/12/2010""",9 Green Ridge Crossing,Kobiernice,Poland,64,4
65,Sandy,Atterley,satterley1s@last.fm,746-575-2935,Developer I,Marketing,138892.21,11/19/2014,Male,"error: invalid date ""31/12/2010""",628 Gale Drive,Prachuap Khiri Khan,Thailand,65,3
66,Brandy,Grono,bgrono1t@bravesites.com,873-706-0803,VP Product Management,Business Development,44958.19,11/3/2014,Agender,"error: invalid date ""31/12/2010""",2299 Debra Alley,Serra da Silveira,Portugal,66,2
67,Garth,McGookin,gmcgookin1u@amazon.de,269-397-5749,VP Quality Control,Support,99488.95,2/7/2011,Male,"error: invalid date ""31/12/2010""",167 Golden Leaf Plaza,Kolpashevo,Russia,67,2
68,Retha,Wimbury,rwimbury1v@google.cn,906-785-4658,Geologist IV,Training,125326.59,9/20/2022,Female,"error: invalid date ""31/12/2010""",3 3rd Drive,Janów,Poland,68,1
69,Pascale,Sexten,psexten1w@tiny.cc,430-941-1190,Executive Secretary,Marketing,130169.44,4/16/2016,Male,"error: invalid date ""31/12/2010""",34375 7th Circle,Dahu Satu,Indonesia,69,2
70,Eyde,Drayson,edrayson1x@sun.com,576-819-8086,Dental Hygienist,Support,116083.95,7/2/2017,Female,"error: invalid date ""31/12/2010""",77022 Colorado Center,Vetluga,Russia,70,1
71,Ginelle,Terne,gterne1y@printfriendly.com,762-127-7452,Safety Technician III,Support,110504.0,9/7/2015,Female,"error: invalid date ""31/12/2010""",00 Marquette Circle,Santa Cruz das Flores,Portugal,71,3
72,Gradeigh,Gerry,ggerry1z@adobe.com,704-663-4928,Graphic Designer,Engineering,123270.43,11/7/2020,Male,"error: invalid date ""31/12/2010""",88 Sunfield Plaza,Penanggapan,Indonesia,72,2
73,Kellina,Dayce,kdayce20@shinystat.com,757-142-7578,Accountant II,Accounting,107786.91,6/17/2019,Female,"error: invalid date ""31/12/2010""",24 1st Junction,Hampton,United States,73,2
74,Kathie,Franceschielli,kfranceschielli21@yahoo.co.jp,601-700-0035,Food Chemist,Marketing,89287.6,2/12/2016,Female,"error: invalid date ""31/12/2010""",992 Stephen Road,Lemland,Aland Islands,74,5
75,Brice,Behnecken,bbehnecken22@qq.com,214-593-4536,Structural Analysis Engineer,Human Resources,104632.09,9/3/2022,Male,"error: invalid date ""31/12/2010""",39 Prentice Crossing,Dalsjöfors,Sweden,75,1
76,Dorry,Lightwing,dlightwing23@addtoany.com,748-711-6547,Teacher,Product Management,40702.07,10/31/2021,Female,"error: invalid date ""31/12/2010""",7428 Ramsey Park,Fredrikstad,Norway,76,2
77,Stanislas,Fernie,sfernie24@over-blog.com,917-925-7479,Quality Control Specialist,Legal,43495.22,3/6/2017,Male,"error: invalid date ""31/12/2010""",158 Caliangt Trail,New York City,United States,77,1
78,Ambrose,Savine,asavine25@alexa.com,907-697-1244,Editor,Marketing,112152.72,9/4/2013,Genderfluid,"error: invalid date ""31/12/2010""",8 Linden Street,Chuquitira,Peru,78,2
79,Archibaldo,Joanic,ajoanic26@sun.com,885-715-3570,Clinical Specialist,Training,149249.61,11/24/2017,Male,"error: invalid date ""31/12/2010""",502 Delladonna Pass,Jistebnice,Czech Republic,79,3
80,Audy,Ayree,aayree27@privacy.gov.au,969-275-7097,Help Desk Operator,Business Development,54266.36,3/10/2016,Female,"error: invalid date ""31/12/2010""",54 Fordem Circle,Mitaka-shi,Japan,80,3
81,Marvin,Chopin,mchopin28@wikipedia.org,490-352-5545,Developer III,Support,56076.36,3/20/2020,Male,"error: invalid date ""31/12/2010""",9 Doe Crossing Lane,Psáry,Czech Republic,81,2
82,Twyla,Rigolle,trigolle29@mediafire.com,841-832-2515,Compensation Analyst,Human Resources,59195.73,3/16/2016,Female,"error: invalid date ""31/12/2010""",32 Victoria Point,Libmanan,Philippines,82,5
83,Elvera,Whitlow,ewhitlow2a@yelp.com,233-939-1892,Pharmacist,Legal,43419.48,4/2/2015,Female,"error: invalid date ""31/12/2010""",3 Oak Alley,Tirat Karmel,Israel,83,2
84,Ronnie,Cecere,rcecere2b@cmu.edu,973-928-2559,Statistician I,Marketing,127421.08,12/13/2017,Male,"error: invalid date ""31/12/2010""",8 Mendota Lane,Huizhou,China,84,1
85,Fayette,Clubley,fclubley2c@time.com,767-249-3834,GIS Technical Architect,Sales,127219.46,4/1/2013,Female,"error: invalid date ""31/12/2010""",1 Washington Trail,Ratchathewi,Thailand,85,5
86,Theodosia,Gillion,tgillion2d@google.es,810-184-7695,Sales Associate,Marketing,113336.08,6/28/2018,Female,"error: invalid date ""31/12/2010""",884 Hagan Road,Yataity del Norte,Paraguay,86,2
87,Mill,Paxton,mpaxton2e@apache.org,859-143-0642,Senior Sales Associate,Training,68379.6,5/28/2010,Male,"error: invalid date ""31/12/2010""",5996 Mifflin Crossing,Jedlnia-Letnisko,Poland,87,1
88,Guy,Lievesley,glievesley2f@hc360.com,396-378-5844,Dental Hygienist,Human Resources,141634.78,8/26/2017,Male,"error: invalid date ""31/12/2010""",2608 Crowley Point,Hualongyan,China,88,1
89,Domenic,McKennan,dmckennan2g@nsw.gov.au,737-695-8306,Quality Engineer,Research and Development,75235.41,9/18/2013,Male,"error: invalid date ""31/12/2010""",17 Vidon Way,Bahāwalnagar,Pakistan,89,4
90,Dennie,Osan,dosan2h@wired.com,271-904-3977,Librarian,Sales,148550.97,7/11/2010,Male,"error: invalid date ""31/12/2010""",11366 Almo Alley,La Joya,Mexico,90,5
91,Riannon,Bradbrook,rbradbrook2i@stanford.edu,998-162-8255,Occupational Therapist,Legal,42899.48,7/24/2011,Female,"error: invalid date ""31/12/2010""",77 8th Park,Navoiy,Uzbekistan,91,2
92,Birdie,Bullin,bbullin2j@kickstarter.com,509-919-1937,Quality Control Specialist,Business Development,71954.25,1/30/2010,Agender,"error: invalid date ""31/12/2010""",125 Roxbury Plaza,Pechenizhyn,Ukraine,92,1
93,Husein,Clutram,hclutram2k@ameblo.jp,334-980-3176,Director of Sales,Sales,114609.86,1/23/2015,Male,"error: invalid date ""31/12/2010""",7 Northport Pass,Charleville-Mézières,France,93,4
94,Carlo,Walsham,cwalsham2l@bigcartel.com,279-736-9217,Engineer I,Support,70999.93,8/3/2012,Male,"error: invalid date ""31/12/2010""",95 Graedel Terrace,Zouila,Tunisia,94,3
95,Roselle,Vamplus,rvamplus2m@utexas.edu,457-836-8400,Associate Professor,Research and Development,37342.0,4/1/2013,Female,"error: invalid date ""31/12/2010""",79 Fuller Hill,Paulo Afonso,Brazil,95,5
96,Audry,Gavin,agavin2n@wikia.com,922-512-3791,Systems Administrator IV,Services,55927.4,12/21/2021,Female,"error: invalid date ""31/12/2010""",6418 Washington Circle,Qīr Moāv,Jordan,96,3
97,Grady,Firpo,gfirpo2o@altervista.org,311-989-8712,Administrative Assistant II,Engineering,114101.67,9/18/2022,Male,"error: invalid date ""31/12/2010""",4 Golf View Lane,Miyako,Japan,97,1
98,Porter,Slee,pslee2p@europa.eu,262-678-7674,Geologist IV,Human Resources,143743.22,9/19/2017,Male,"error: invalid date ""31/12/2010""",2 Rigney Park,Jiyang,China,98,4
99,Emmit,Tenny,etenny2q@mit.edu,431-278-7693,Senior Financial Analyst,Accounting,52288.44,2/13/2010,Male,"error: invalid date ""31/12/2010""",475 Karstens Point,Mashan,China,99,3
100,Falkner,Fozzard,ffozzard2r@gravatar.com,162-285-5053,Compensation Analyst,Support,72375.15,6/11/2015,Male,"error: invalid date ""31/12/2010""",26 Maple Wood Center,Massaranduba,Brazil,100,2
101,Sharl,Dunderdale,sdunderdale2s@techcrunch.com,878-945-9628,Senior Sales Associate,Marketing,95970.07,1/16/2019,Female,"error: invalid date ""31/12/2010""",46 Fieldstone Way,Filótion,Greece,101,3
102,Braden,Matthewman,bmatthewman2t@flickr.com,526-170-8015,Safety Technician I,Services,61514.47,1/31/2010,Male,"error: invalid date ""31/12/2010""",47076 Lyons Parkway,Hulei,China,102,4
103,Amye,Habgood,ahabgood2u@e-recht24.de,498-327-7475,Nuclear Power Engineer,Support,84809.38,11/30/2017,Female,"error: invalid date ""31/12/2010""",32639 Ruskin Point,Gaigeturi,South Korea,103,3
104,Emelen,Screwton,escrewton2v@privacy.gov.au,141-192-5238,Civil Engineer,Business Development,109823.45,9/12/2010,Male,"error: invalid date ""31/12/2010""",0106 Aberg Pass,Bayt Maqdūm,Palestinian Territory,104,5
105,Rosemarie,Ottewell,rottewell2w@illinois.edu,953-691-4596,Developer II,Product Management,88558.07,7/31/2014,Polygender,"error: invalid date ""31/12/2010""",394 Victoria Park,Shofirkon,Uzbekistan,105,5
106,Garv,Spooner,gspooner2x@ycombinator.com,166-894-1676,Office Assistant IV,Support,104100.05,10/25/2013,Male,"error: invalid date ""31/12/2010""",899 Ramsey Drive,Yakymivka,Ukraine,106,5
107,Ellswerth,Van den Velde,evandenvelde2y@newsvine.com,588-109-1755,Clinical Specialist,Sales,87608.76,11/12/2010,Male,"error: invalid date ""31/12/2010""",00876 Lakewood Gardens Pass,Magbay,Philippines,107,3
108,Davidde,Siseland,dsiseland2z@digg.com,556-179-0294,Junior Executive,Services,61802.54,5/8/2012,Male,"error: invalid date ""31/12/2010""",991 Melody Point,Zhujiachang,China,108,4
109,Matthus,Eldritt,meldritt30@123-reg.co.uk,656-355-0444,Administrative Officer,Marketing,49621.64,6/26/2011,Male,"error: invalid date ""31/12/2010""",30 Rieder Parkway,Kumberg,Austria,109,1
110,Kristi,Bischop,kbischop31@forbes.com,751-413-3692,Senior Editor,Services,68347.32,9/23/2012,Female,"error: invalid date ""31/12/2010""",8053 Erie Lane,Hola Prystan’,Ukraine,110,3
111,Giulietta,Batstone,gbatstone32@chron.com,768-884-9286,Quality Engineer,Legal,103986.7,12/24/2011,Female,"error: invalid date ""31/12/2010""",73191 Coleman Junction,Sheregesh,Russia,111,2
112,Jedediah,Villa,jvilla33@ucla.edu,405-310-3425,Developer II,Human Resources,61791.38,1/6/2021,Male,"error: invalid date ""31/12/2010""",41 Larry Plaza,Áyios Nikólaos,Greece,112,5
113,Lamar,Strickett,lstrickett34@latimes.com,595-562-0672,Assistant Professor,Research and Development,85171.94,6/18/2014,Male,"error: invalid date ""31/12/2010""",6 Dapin Road,Pithoro,Pakistan,113,2
114,Bartholomeus,Froud,bfroud35@joomla.org,109-363-4410,Financial Advisor,Accounting,95839.08,2/22/2013,Male,"error: invalid date ""31/12/2010""",4 Gale Parkway,Si Sa Ket,Thailand,114,1
115,Jess,Sponer,jsponer36@ebay.com,158-839-8936,Project Manager,Sales,45268.05,7/21/2020,Female,"error: invalid date ""31/12/2010""",46 Emmet Circle,Presidente Prudente,Brazil,115,4
116,Zabrina,Floyed,zfloyed37@scribd.com,932-199-3473,Occupational Therapist,Services,65397.68,1/30/2014,Female,"error: invalid date ""31/12/2010""",9 Dapin Junction,Manlucahoc,Philippines,116,4
117,Tomasina,Basley,tbasley38@miitbeian.gov.cn,351-694-3862,Biostatistician III,Engineering,137979.19,3/13/2020,Female,"error: invalid date ""31/12/2010""",8 Ohio Crossing,Berģi,Latvia,117,5
118,Jordain,Heimes,jheimes39@xing.com,188-299-4996,Paralegal,Research and Development,103360.28,3/11/2012,Female,"error: invalid date ""31/12/2010""",6851 Leroy Circle,Pingshui,China,118,2
119,Aland,Haldenby,ahaldenby3a@ask.com,549-929-6889,Paralegal,Business Development,63311.56,3/15/2020,Male,"error: invalid date ""31/12/2010""",921 Hagan Court,Tojeira,Portugal,119,2
120,Germana,Dutchburn,gdutchburn3b@scientificamerican.com,253-517-0783,Chief Design Engineer,Product Management,96200.98,8/10/2019,Female,"error: invalid date ""31/12/2010""",233 Larry Alley,Maoping,China,120,2
121,Ofelia,Francesco,ofrancesco3c@altervista.org,717-473-5252,Community Outreach Specialist,Product Management,54287.51,5/23/2020,Female,"error: invalid date ""31/12/2010""",9487 Elka Lane,Zárkos,Greece,121,3
122,Feodora,Plom,fplom3d@eepurl.com,117-671-0648,Sales Representative,Services,136690.15,10/21/2012,Female,"error: invalid date ""31/12/2010""",174 Stone Corner Trail,Jiebu,China,122,3
123,Cletus,Huggard,chuggard3e@clickbank.net,409-780-0356,Sales Associate,Engineering,32892.66,6/10/2013,Male,"error: invalid date ""31/12/2010""",06853 Forster Parkway,Xinzhaiping,China,123,2
124,Gardner,Hadlington,ghadlington3f@shutterfly.com,503-708-2923,Database Administrator IV,Services,131451.51,5/21/2022,Male,"error: invalid date ""31/12/2010""",1914 Badeau Plaza,Sukarama,Indonesia,124,5
125,Dunc,Bromage,dbromage3g@google.com.br,494-460-0218,Project Manager,Marketing,121232.69,12/10/2014,Male,"error: invalid date ""31/12/2010""",7091 Holmberg Road,Kuala Lumpur,Malaysia,125,1
126,Jose,Eannetta,jeannetta3h@cbslocal.com,500-843-3409,Internal Auditor,Research and Development,97137.19,10/27/2014,Male,"error: invalid date ""31/12/2010""",51041 Claremont Center,Krasne,Ukraine,126,2
127,Gerhardt,Stoakes,gstoakes3i@yale.edu,949-722-0784,Senior Sales Associate,Services,113042.4,11/21/2021,Male,"error: invalid date ""31/12/2010""",0254 Superior Circle,Le Pontet,France,127,4
128,Leicester,Golightly,lgolightly3j@patch.com,205-977-2876,Actuary,Accounting,44014.69,7/13/2017,Male,"error: invalid date ""31/12/2010""",809 Brown Circle,Taishihe,China,128,1
129,Mellicent,Comiskey,mcomiskey3k@youtube.com,958-520-3343,Cost Accountant,Services,110140.37,11/6/2017,Female,"error: invalid date ""31/12/2010""",0 Westridge Court,Fengyi,China,129,1
130,Shamus,Ollier,sollier3l@so-net.ne.jp,761-109-3398,Systems Administrator I,Research and Development,96689.19,12/20/2018,Male,"error: invalid date ""31/12/2010""",839 Vidon Park,Talas,Kyrgyzstan,130,1
131,Sheilah,Summerley,ssummerley3m@latimes.com,520-861-9519,VP Marketing,Human Resources,111947.74,11/9/2014,Female,"error: invalid date ""31/12/2010""",308 Surrey Terrace,Luzhuangzi,China,131,2
132,Marlie,Peschmann,mpeschmann3n@wunderground.com,391-137-0123,Assistant Manager,Engineering,102788.61,3/29/2017,Female,"error: invalid date ""31/12/2010""",34865 Elka Road,Cochrane,Canada,132,4
133,Orelee,Beville,obeville3o@webeden.co.uk,285-668-8094,Information Systems Manager,Training,63691.25,9/21/2020,Bigender,"error: invalid date ""31/12/2010""",58533 Briar Crest Way,La Gi,Vietnam,133,2
134,Antoinette,Ferroni,aferroni3p@shop-pro.jp,548-549-1769,Accountant II,Research and Development,91921.71,3/20/2016,Female,"error: invalid date ""31/12/2010""",201 Bunker Hill Plaza,Sarreguemines,France,134,4
